FullPathName,ID,CredentialNumber,VersionID,VersionName,CompanyName,CompanyAddress,CertificationName,CertificationAddress,CredentialState,EffectiveCredentialTime,MaturityCredentialTime,AffirmAddress,Range,Expression,Contents,CreateCredentialTime,UpdateCredentialTime,UpdateStateTime,CreateBy,IsIssued,CertidficationName,OwnerRole,UserID,IsCanPause,IsCanCancel,IsCanLogout,IsCanRecovery,OtherCredentialState,RankNumber,CredentialStateName,IsIssuedName
/江苏省/连云港市,db39ed25-cad3-4278-81cc-f3046f1ff916,CSAIII-00616IIIMS0002701,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,连云港港口集团有限公司,江苏省连云港市连云区中华西路18-5号港口大厦3218室,中国船级社质量认证公司,北京市东直门南大街9号船检大厦,1,2016-02-15,2019-02-15,北京市东黄城根南街40号,件杂货与散货的车船快速装卸能力，装卸及仓储中转过程中的节能降耗能力,,,2016-02-15,2017-12-19,2017-12-19,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国船级社质量认证公司,CSAIII-006,{485c19c7-b5db-42f1-8896-0aff1f4e7712},0,0,0,0,,1937,有效,是
/江苏省/连云港市,f0585539-96b5-4690-9709-a6d39783ea88,CSAIII-01017IIIMS0005501,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,连云港中复连众复合材料集团有限公司,江苏省连云港市海州区海连东路195号,江苏鸿信系统集成有限公司,江苏省南京市鼓楼区汉中路268号,1,2017-02-16,2020-02-16,,风电叶片精益制造管控能力,,,2017-02-16,2018-06-10,2017-02-16,{466c6362-fbf5-4f32-99d9-7a1929545529},1,江苏鸿信系统集成有限公司,CSAIII-010,{a97dc2b5-0a35-4aab-aa17-f5cd8987a4ae},0,0,0,0,,1938,有效,是
/广东省/清远市,ce15af07-39ea-4f65-9b08-02e82a5adfd2,CSAIII-00918IIIMS0029201,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,连州市凯恩斯纳米材料有限公司,连州市保安镇新塘工业园,北京国金衡信认证有限公司,北京市海淀区大柳树路17号富海国际港,1,2018-04-14,2021-04-14,,纳米碳酸钙产品生产精准化管控能力,,,2018-04-16,2018-04-16,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,北京国金衡信认证有限公司,CSAIII-009,{0591263c-e253-4c53-b357-732d409d98de},0,0,0,0,,1939,有效,是
/广东省/清远市,9be209a0-9a99-49ed-8688-a1d5daf23ce4,CSAIII-00918IIIMS0027501,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,连州永和玩具制品有限公司,广东省连州市城南开发区,北京国金衡信认证有限公司,北京市海淀区大柳树路17号富海国际港,1,2018-03-30,2021-03-30,,玩具生产的精细化成本管控能力,,,2018-03-30,2018-03-30,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,北京国金衡信认证有限公司,CSAIII-009,{f75eee80-4186-4f49-bbf7-8b049970faf7},0,0,0,0,,1940,有效,是
/安徽省/合肥市,727c586b-9844-42aa-a4dd-227398dd2655,CSAIII-00317IIIMS0028301,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,联宝（合肥）电子科技有限公司,安徽省合肥市经开区云谷路3188-1号（出口加工区内）,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,广东省广州市天河区东莞庄路110号,1,2017-12-14,2020-12-14,,PC产品柔性制造管控能力,,,2017-12-14,2018-12-21,2017-12-14,{466c6362-fbf5-4f32-99d9-7a1929545529},1,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,CSAIII-003,{161b1942-b58e-40f7-aa2e-297d2e5af131},0,0,0,0,,1941,有效,是
/福建省/莆田市,df1aab42-a14a-4f8e-9548-3e8cb06e3bac,CSAIII-00418IIIMS0032501,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,联盛（莆田）彩印有限公司,莆田市秀屿区笏石镇西徐村（笏石工业园区）,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2018-07-12,2021-07-12,,包装装璜纸制品高效生产管控能力,,,2018-07-12,2018-07-12,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{57a57b32-7638-4d8a-9bc2-02bf3f31f2b9},0,0,0,0,,1942,有效,是
/福建省/厦门市,5d1de6b7-be5a-4656-bb6b-d8c9d5387689,CSAIII-00818IIIMS0016201,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,联盛（厦门）彩印有限公司,厦门市海沧新阳工业区阳和路58号,中国电力企业联合会科技开发服务中心,西城区广安门外大街168号朗琴国际A座五层,1,2018-12-29,2021-12-29,,外包装纸制品的精细化生产管控能力,,,2018-12-29,2018-12-29,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电力企业联合会科技开发服务中心,CSAIII-008,{e9c41f44-6946-4dcf-b29d-05ae3180b895},0,0,0,0,,1943,有效,是
/福建省/泉州市,56711042-997f-4039-88fb-373f13c9fdfd,CSAIII-00518IIIMS0013001,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,联誉信息股份有限公司,福建省泉州市丰泽区泉州软件园综合楼16楼,上海质量管理科学研究院  上海质量体系审核中心,上海市武夷路258号,1,2018-05-18,2021-05-18,,基于客户需求的项目管理与服务能力,,,2018-05-18,2018-05-18,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,上海质量管理科学研究院  上海质量体系审核中心,CSAIII-005,{cf1705b7-74a2-47a3-9ad9-ac7860fa3d13},0,0,0,0,,1944,有效,是
/辽宁省/沈阳市,19235653-30ba-49e8-a7a9-fdc8bebd7dca,CSAIII-00317IIIMS0016601,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,辽宁禾丰牧业股份有限公司,辽宁省沈阳市沈北新区辉山大街169号,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,广东省广州市天河区东莞庄路110号,1,2017-05-23,2020-05-23,,网络销售管控能力,,,2017-05-23,2017-05-23,2017-05-23,{466c6362-fbf5-4f32-99d9-7a1929545529},1,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,CSAIII-003,{c7f5fa9d-20a2-4212-be60-b6d6fadefa7e},0,0,0,0,,1945,有效,是
/辽宁省/大连市,0176a4c1-6226-437f-8f4e-c8f20aecf4d6,CSAIII-00317IIIMS0018601,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,辽宁红沿河核电有限公司,辽宁省大连市中山区南山路127号,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,广东省广州市天河区东莞庄路110号,1,2017-06-20,2020-06-20,,商运机组高端稳定的安全运行能力,,,2017-06-20,2018-10-12,2017-06-20,{466c6362-fbf5-4f32-99d9-7a1929545529},1,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,CSAIII-003,{0fba6ee0-e97c-494b-a4e9-075cbc2de465},0,0,0,0,,1946,有效,是
